Sample name	Total reads	Percent mapped	Percent paired	Percent singletons	Fraction with mate mapped to different chr
Archer_10x	102097547	98.93%	94.12%	0.45%	.03763426363221047808
Archer_15x	152046789	98.92%	94.16%	0.43%	.03736680029461194343
Archer_20x	201271319	98.91%	94.20%	0.41%	.03710147097510698978
Archer_25x	249812994	98.91%	94.23%	0.39%	.03684939623276761976
Archer	286400179	98.90%	94.26%	0.38%	.036663789934293
Glycine_soya_paired_35bp	177162606	90.53%	83.02%	1.57%	.012900544034671
Glycine_soya_paired_75bp	220108788	97.31%	87.74%	0.62%	.047482066004561
Glycine_soya_single	40960348	83.95%	N/A	N/A	0
IA3023_10x	74464214	97.70%	90.48%	0.76%	.05629095876846292905
IA3023_15x	110994711	97.68%	90.66%	0.73%	.05476516804480890985
IA3023_20x	147198259	97.67%	90.81%	0.70%	.05349074135448843861
IA3023_25x	183161609	97.66%	90.94%	0.67%	.05238969046182598232
IA3023_30x	218894971	97.65%	91.05%	0.65%	.05141289426882264919
IA3023_40x	289790855	97.63%	91.24%	0.61%	.04978458688767111025
IA3023	762134174	97.56%	91.99%	0.44%	.04358056774396787513
M92_220_10x	109501482	98.76%	93.45%	0.41%	.04411206051074267652
M92_220_15x	162617235	98.75%	93.55%	0.38%	.04323076825159399617
M92_220_20x	214747772	98.73%	93.63%	0.37%	.04245663605767234688
M92_220_25x	265931480	98.72%	93.71%	0.35%	.04174366269085555422
M92_220_30x	316240766	98.71%	93.77%	0.34%	.04111922749390254133
M92_220 623018093       98.64%  94.06%  0.28%   .03817614972539810332
Minsoy_10x	103314679	98.63%	91.84%	0.62%	.05413596648739527129
Minsoy_15x	153622681	98.62%	91.94%	0.59%	.05332489933566515480
Minsoy_20x	203114063	98.61%	92.03%	0.57%	.05257343505555299733
Minsoy_25x	251783051	98.60%	92.11%	0.55%	.05185555559893505301
Minsoy	290641836	98.59%	92.16%	0.54%	0.05132089793157
Noir_10x	102375413	98.98%	92.81%	0.35%	.05125658443009162756
Noir_15x	152218295	98.97%	92.89%	0.33%	.05050282556377339530
Noir_20x	201195791	98.96%	92.97%	0.32%	.04982708609446009732
Noir_25x	249317288	98.95%	93.03%	0.31%	.04918347258774931002
Noir    262365861       98.95%  93.05%  0.30%   .04901915192388540214
Williams_10x	126919214	99.06%	95.91%	0.19%	.02642696794513713266
Williams_15x	174366515	98.97%	95.91%	0.18%	.02566628116642693696
Williams_20x	211737202	98.87%	95.85%	0.18%	.02529485583737901665
Williams	231025575	98.79%	95.78%	0.17%	.02521774483193
Wm82_ISU_10x	99720296	99.06%	94.29%	0.32%	.04053415565473251302
Wm82_ISU_15x	148620349	99.05%	94.45%	0.30%	.03913481591945393695
Wm82_ISU	156752612	99.05%	94.47%	0.30%	.038924276426092
